estacion,tmedia,fecha_obs
CAGDR,16,2017-12-29
CBRDR,11.5,2017-12-29
CEBDR,13,2017-12-29
CGVDR,14.5,2017-12-29
CLRDR,14.7,2017-12-29
CNCDR,16,2017-12-29
CNTDR,13.5,2017-12-29
DRGDR,13.6,2017-12-29
FVLDR,16,2017-12-29
FZRDR,16.2,2017-12-29
GESDR,11,2017-12-29
GNCDR,12,2017-12-29
MPMDR,14.5,2017-12-29
NZSDR,16.5,2017-12-29
PAGDR,13.5,2017-12-29
RDODR,16,2017-12-29
ROSDR,7.2,2017-12-29
SACDR,14,2017-12-29
SBYDR,13.2,2017-12-29
SELDR,13,2017-12-29
SGBDR,11.5,2017-12-29
SLCDR,15,2017-12-29
SMODR,11,2017-12-29
SPPDR,15,2017-12-29
TDRDR,25,2017-12-29
TMZDR,24.7,2017-12-29
VHGDR,9.7,2017-12-29
VOCDR,11.5,2017-12-29
ABSGJ,18.5,2017-12-29
ACNGJ,16.5,2017-12-29
AEGGJ,17.2,2017-12-29
AMCGJ,16,2017-12-29
APSGJ,15.5,2017-12-29
BEGGJ,14.5,2017-12-29
BRRGJ,14,2017-12-29
CLYGJ,17.7,2017-12-29
COMGJ,15,2017-12-29
CORGJ,12.2,2017-12-29
CRMGJ,18,2017-12-29
CSRGJ,12.5,2017-12-29
CSTGJ,16.2,2017-12-29
DHGGJ,17.2,2017-12-29
ECBGJ,15.2,2017-12-29
ECHGJ,18,2017-12-29
EPLGJ,14.2,2017-12-29
GLNGJ,16,2017-12-29
GTOGJ,15.1,2017-12-29
IALGJ,14.5,2017-12-29
IRPGJ,16.5,2017-12-29
JCRGJ,14.7,2017-12-29
LADGJ,14,2017-12-29
LDYGJ,16.5,2017-12-29
LENGJ,17.5,2017-12-29
LJIGJ,17.5,2017-12-29
LQMGJ,10.5,2017-12-29
OCMGJ,13.5,2017-12-29
PERGJ,16.2,2017-12-29
PNLGJ,13.2,2017-12-29
POZGJ,13,2017-12-29
PRSGJ,16,2017-12-29
SFEGJ,10.5,2017-12-29
SJLGJ,17,2017-12-29
SLMGJ,17.2,2017-12-29
SLPGJ,13.5,2017-12-29
SLSGJ,17.5,2017-12-29
SLVGJ,16.5,2017-12-29
SRTGJ,15.2,2017-12-29
TEMGJ,18,2017-12-29
TGRGJ,15.2,2017-12-29
VDSGJ,15,2017-12-29
XICGJ,17.2,2017-12-29
ACAGR,29.5,2017-12-29
AERGR,22.4,2017-12-29
AHUGR,23.5,2017-12-29
BVSGR,20.5,2017-12-29
CALGR,26.5,2017-12-29
CCHGR,19,2017-12-29
CHIGR,21,2017-12-29
CHLGR,18.75,2017-12-29
CNLGR,27.15,2017-12-29
IGLGR,23.3,2017-12-29
IXTGR,22,2017-12-29
LDGGR,22,2017-12-29
ODAGR,27.05,2017-12-29
ODZGR,22,2017-12-29
OLNGR,20.5,2017-12-29
OMEGR,20.5,2017-12-29
QTZGR,25.5,2017-12-29
SJEGR,26.75,2017-12-29
TAXGR,15,2017-12-29
TLAGR,13.5,2017-12-29
TLPGR,20.5,2017-12-29
XXHGR,20.5,2017-12-29
YXTGR,19.5,2017-12-29
ZHTGR,27.5,2017-12-29
ACTHD,15.5,2017-12-29
ENDHD,16,2017-12-29
HCPHD,13.5,2017-12-29
HJTHD,19.6,2017-12-29
IXMHD,16.7,2017-12-29
LMTHD,21.5,2017-12-29
MXQHD,14.5,2017-12-29
PCOHD,12.8,2017-12-29
PERHD,11.5,2017-12-29
PRGHD,15.5,2017-12-29
PRQHD,15.2,2017-12-29
PVAHD,16.5,2017-12-29
TLGHD,13.6,2017-12-29
TXMHD,13.5,2017-12-29
ZMPHD,19.5,2017-12-29
ZXTHD,12,2017-12-29
BBAJL,22.5,2017-12-29
BCSJL,15.5,2017-12-29
CGZJL,18.3,2017-12-29
CIHJL,28,2017-12-29
CPEJL,26,2017-12-29
CRTJL,15.5,2017-12-29
CULJL,22.2,2017-12-29
CXTJL,20.7,2017-12-29
EXPJL,18,2017-12-29
GUAJL,18.2,2017-12-29
GUCJL,15.8,2017-12-29
HRTJL,15.7,2017-12-29
HUAJL,18.2,2017-12-29
LDCJL,17.2,2017-12-29
LDMJL,14.5,2017-12-29
PITJL,18.2,2017-12-29
POLJL,18.2,2017-12-29
SAUJL,13,2017-12-29
TCAJL,17,2017-12-29
TENJL,17,2017-12-29
TLAJL,19.2,2017-12-29
TMLJL,18,2017-12-29
VEGJL,17.7,2017-12-29
ADUMC,13.5,2017-12-29
AGOMC,12,2017-12-29
AMEMC,15.5,2017-12-29
APTMC,26,2017-12-29
BIBMC,16.5,2017-12-29
CBLMC,15.7,2017-12-29
CHAMC,15.75,2017-12-29
CHIMC,13.5,2017-12-29
CHLMC,26.75,2017-12-29
COIMC,15.75,2017-12-29
CORMC,17.25,2017-12-29
DGNMC,16.8,2017-12-29
GUAMC,19.5,2017-12-29
JARMC,18.75,2017-12-29
LDFMC,15.5,2017-12-29
LPAMC,16.65,2017-12-29
LPDMC,19.5,2017-12-29
MCEMC,17,2017-12-29
MLPMC,14.25,2017-12-29
MNOMC,15.9,2017-12-29
MOCMC,13,2017-12-29
MORMC,15.75,2017-12-29
MRVMC,15.5,2017-12-29
ORAMC,15,2017-12-29
PDBMC,14.25,2017-12-29
PORMC,14,2017-12-29
PUCMC,11.5,2017-12-29
SAHMC,14.75,2017-12-29
SCRMC,14.5,2017-12-29
SJUMC,17.5,2017-12-29
SSIMC,20,2017-12-29
TEPMC,15.5,2017-12-29
TMUMC,12.8,2017-12-29
UREMC,13.5,2017-12-29
VJIMC,12.75,2017-12-29
ZAMMC,18,2017-12-29
ZICMC,25,2017-12-29
ACHMR,18,2017-12-29
ATLMR,16,2017-12-29
HIGMR,20.5,2017-12-29
HUEMR,14,2017-12-29
HUXMR,17.5,2017-12-29
JOJMR,17.7,2017-12-29
LCUMR,21.5,2017-12-29
NEXMR,21,2017-12-29
OCTMR,17.5,2017-12-29
PIXMR,21.5,2017-12-29
SLDMR,17.5,2017-12-29
TEMMR,21.5,2017-12-29
TLOMR,16.2,2017-12-29
TOTMR,18.2,2017-12-29
ARBMX,15.7,2017-12-29
CHPMX,13.25,2017-12-29
CLYMX,13,2017-12-29
CNPMX,12.5,2017-12-29
EMOMX,11.5,2017-12-29
GRDMX,15.7,2017-12-29
K27MX,12.7,2017-12-29
MBLMX,16,2017-12-29
OBSMX,14.5,2017-12-29
PCGMX,11,2017-12-29
SADMX,13.2,2017-12-29
SLAMX,12.25,2017-12-29
SNLMX,11.5,2017-12-29
TTLMX,17,2017-12-29
TTQMX,12.5,2017-12-29
ANHNL,8.5,2017-12-29
ARRNL,13.75,2017-12-29
ASCNL,12,2017-12-29
CANNL,9,2017-12-29
CARNL,7.5,2017-12-29
CDFNL,9.25,2017-12-29
CPRNL,6.5,2017-12-29
CRUNL,6.75,2017-12-29
CRVNL,8,2017-12-29
DARNL,16.5,2017-12-29
GALNL,10.25,2017-12-29
HGRNL,7,2017-12-29
LBCNL,8.25,2017-12-29
MTMNL,7.5,2017-12-29
MTRNL,8.5,2017-12-29
OBSNL,9.3,2017-12-29
ZRGNL,14.5,2017-12-29
RUINR,25,2017-12-29
TEPNR,22,2017-12-29
ATEOX,14.5,2017-12-29
AYUOX,7,2017-12-29
BAEOX,16,2017-12-29
BOQOX,22,2017-12-29
CDOOX,21,2017-12-29
CHIOX,25,2017-12-29
HLOOX,15.5,2017-12-29
IXTOX,27.2,2017-12-29
JACOX,24,2017-12-29
LCAOX,11.5,2017-12-29
OACOX,18,2017-12-29
OAOOX,17.7,2017-12-29
PAPOX,23,2017-12-29
PTAOX,27.2,2017-12-29
SCIOX,15.5,2017-12-29
SCROX,28.4,2017-12-29
SFUOX,20.5,2017-12-29
SNAOX,12.2,2017-12-29
TUXOX,23.2,2017-12-29
VANOX,22,2017-12-29
ZACOX,17.2,2017-12-29
ACHPB,10,2017-12-29
ACJPB,15.5,2017-12-29
ADOPB,19,2017-12-29
AFRPB,15,2017-12-29
AHAPB,16.5,2017-12-29
AHUPB,10,2017-12-29
APAPB,18.5,2017-12-29
ATXPB,16.5,2017-12-29
AVCPB,19,2017-12-29
BDDPB,12.5,2017-12-29
CDSPB,12.5,2017-12-29
CEMPB,14,2017-12-29
CHIPB,21.5,2017-12-29
CHLPB,15.7,2017-12-29
CHSPB,20,2017-12-29
CNAPB,16.5,2017-12-29
CNGPB,8.5,2017-12-29
COAPB,19.5,2017-12-29
CPLPB,15,2017-12-29
CTZPB,13.5,2017-12-29
ECHPB,14,2017-12-29
HJTPB,15,2017-12-29
HQCPB,19,2017-12-29
HUAPB,13.5,2017-12-29
IXTPB,14.5,2017-12-29
IZMPB,19.5,2017-12-29
LIBPB,15.5,2017-12-29
MAYPB,15.5,2017-12-29
OYAPB,6,2017-12-29
PCRPB,10.5,2017-12-29
PIXPB,20,2017-12-29
PUOPB,13.5,2017-12-29
QUIPB,15,2017-12-29
RNAPB,15,2017-12-29
SCRPB,13.2,2017-12-29
SMCPB,10.5,2017-12-29
SRTPB,12,2017-12-29
TDRPB,14.5,2017-12-29
TECPB,13,2017-12-29
TEHPB,14,2017-12-29
TELPB,19,2017-12-29
TEOPB,13,2017-12-29
TEZPB,14.5,2017-12-29
TLPPB,20.5,2017-12-29
TLXPB,14,2017-12-29
TPYPB,11,2017-12-29
UDSPB,14,2017-12-29
VENPB,16.5,2017-12-29
XDJPB,13.5,2017-12-29
ZCPPB,12.5,2017-12-29
ZOQPB,10.5,2017-12-29
ZRGPB,10,2017-12-29
CANQR,26.25,2017-12-29
CHOQR,23.9,2017-12-29
COZQR,28.5,2017-12-29
FCRQR,24.15,2017-12-29
PDCQR,24.3,2017-12-29
ACTSI,23.7,2017-12-29
AHMSI,21.7,2017-12-29
ARCSI,23,2017-12-29
AWSSI,22,2017-12-29
BDRSI,23,2017-12-29
CHXSI,20.75,2017-12-29
CLCSI,22,2017-12-29
CRRSI,18.5,2017-12-29
EFTSI,22.7,2017-12-29
GD2SI,22,2017-12-29
GMCSI,22.5,2017-12-29
GSVSI,22,2017-12-29
GTNSI,25,2017-12-29
HDZSI,22.7,2017-12-29
IXPSI,25,2017-12-29
JLPSI,23,2017-12-29
JNASI,21.7,2017-12-29
JORSI,21.7,2017-12-29
LCRSI,22.5,2017-12-29
MCHSI,22,2017-12-29
MZTSI,22.6,2017-12-29
OBSSI,21.5,2017-12-29
PMHSI,22,2017-12-29
QLTSI,22.5,2017-12-29
RAVSI,22.5,2017-12-29
RSRSI,25,2017-12-29
SCRSI,24.2,2017-12-29
SFRSI,21.5,2017-12-29
SJNSI,22,2017-12-29
SLRSI,23.5,2017-12-29
SLTSI,22.5,2017-12-29
SQRSI,23.7,2017-12-29
TBRSI,22.1,2017-12-29
TORSI,25.2,2017-12-29
VINSI,22.2,2017-12-29
ZOPSI,21.25,2017-12-29
AJTSL,15.5,2017-12-29
BLMSL,16.5,2017-12-29
CDVSL,20.5,2017-12-29
GANSL,18,2017-12-29
MATSL,16.5,2017-12-29
MICSL,16.5,2017-12-29
MTPSL,16.9,2017-12-29
NRJSL,18.1,2017-12-29
PMYSL,17.5,2017-12-29
PUJSL,16.6,2017-12-29
RQTSL,16.5,2017-12-29
RVDSL,18.3,2017-12-29
SDHSL,17,2017-12-29
SGRSL,12.5,2017-12-29
SLPSL,13.2,2017-12-29
SVTSL,16.5,2017-12-29
TBLSL,16.1,2017-12-29
TMISL,17.5,2017-12-29
TMTSL,16.8,2017-12-29
ACNSO,17,2017-12-29
ALTSO,16.25,2017-12-29
AOBSO,20.25,2017-12-29
ARCSO,21.5,2017-12-29
ARISO,10,2017-12-29
ARZSO,14.5,2017-12-29
BCNSO,14.5,2017-12-29
BCRSO,12,2017-12-29
BNMSO,18.5,2017-12-29
CCRSO,20,2017-12-29
CHTSO,18.25,2017-12-29
CJNSO,20,2017-12-29
CNNSO,18,2017-12-29
COBSO,21.5,2017-12-29
CZNSO,20.7,2017-12-29
ECBSO,18.95,2017-12-29
EPLSO,22,2017-12-29
GYMSO,20.05,2017-12-29
HM2SO,21.25,2017-12-29
HMNSO,23.25,2017-12-29
HSHSO,11.5,2017-12-29
IRASO,21.5,2017-12-29
LCDSO,16.9,2017-12-29
MZTSO,22.5,2017-12-29
NCZSO,18.5,2017-12-29
NGLSO,17.2,2017-12-29
NVJSO,19,2017-12-29
NYNSO,16,2017-12-29
ORGSO,23,2017-12-29
PDNSO,18.75,2017-12-29
PECSO,22.45,2017-12-29
PMOSO,21.75,2017-12-29
PT2SO,17.75,2017-12-29
PTASO,20.5,2017-12-29
PTQSO,13,2017-12-29
QRBSO,20,2017-12-29
SBNSO,22,2017-12-29
SLCSO,16.5,2017-12-29
SRSSO,16,2017-12-29
TPCSO,20.5,2017-12-29
TSOSO,21.5,2017-12-29
YCRSO,13,2017-12-29
BDCTB,25.5,2017-12-29
CARTB,23,2017-12-29
EMUTB,25.7,2017-12-29
EPOTB,24.5,2017-12-29
GABTB,25.25,2017-12-29
GONTB,25,2017-12-29
MACTB,24.25,2017-12-29
OXOTB,23.75,2017-12-29
PNVTB,24.5,2017-12-29
PUYTB,25.25,2017-12-29
SAMTB,24.25,2017-12-29
SJOTB,25.5,2017-12-29
SPTTB,24.75,2017-12-29
TAPTB,23,2017-12-29
TEATB,25.5,2017-12-29
ECTTL,10,2017-12-29
HMTTL,11,2017-12-29
SJATL,11.5,2017-12-29
ZITTL,10.5,2017-12-29
ABSTP,11.65,2017-12-29
AHLTP,16.5,2017-12-29
BALTP,15.9,2017-12-29
BR1TP,10.6,2017-12-29
BRRTP,10.35,2017-12-29
CDOTP,8.5,2017-12-29
CONTP,8,2017-12-29
CORTP,11,2017-12-29
CVCTP,9.8,2017-12-29
CVTTP,9.75,2017-12-29
ENNTP,11.1,2017-12-29
ERCTP,15.2,2017-12-29
FDOTP,8.55,2017-12-29
LSRTP,16.4,2017-12-29
MAGTP,7.3,2017-12-29
MATTP,7.5,2017-12-29
MDRTP,15.8,2017-12-29
MGSTP,14.4,2017-12-29
MHGTP,8.95,2017-12-29
MRGTP,7.5,2017-12-29
PADTP,11.15,2017-12-29
PANTP,8,2017-12-29
PDMTP,11.2,2017-12-29
PILTP,10.75,2017-12-29
PJMTP,8.4,2017-12-29
PVLTP,8.5,2017-12-29
RFRTP,16.7,2017-12-29
RSPTP,13.2,2017-12-29
RYATP,6.5,2017-12-29
RYNTP,6.5,2017-12-29
SBNTP,16.5,2017-12-29
SDATP,15,2017-12-29
SGBTP,12.1,2017-12-29
SLMTP,12.7,2017-12-29
SLZTP,12.9,2017-12-29
STETP,9.35,2017-12-29
TMSTP,15.5,2017-12-29
VCATP,7,2017-12-29
VGRTP,11.45,2017-12-29
VSMTP,9.45,2017-12-29
ACAVC,17,2017-12-29
ACTVC,21.5,2017-12-29
ALAVC,16,2017-12-29
ALTVC,11,2017-12-29
ARCVC,20.7,2017-12-29
BRIVC,13.1,2017-12-29
CEGVC,18.5,2017-12-29
CHYVC,15.4,2017-12-29
CLHVC,17,2017-12-29
COPVC,21.5,2017-12-29
COTVC,24.2,2017-12-29
CRDVC,23,2017-12-29
ETEVC,21.5,2017-12-29
GARVC,22,2017-12-29
HGOVC,15.5,2017-12-29
HLSVC,16,2017-12-29
HTSVC,13.5,2017-12-29
HUYVC,9,2017-12-29
IDOVC,23,2017-12-29
JCRVC,20,2017-12-29
JDCVC,23.5,2017-12-29
LGRVC,11,2017-12-29
LOFVC,23,2017-12-29
LPEVC,20,2017-12-29
LVRVC,7.2,2017-12-29
MDTVC,18.7,2017-12-29
MFAVC,23,2017-12-29
MNZVC,20.2,2017-12-29
OLVVC,15.7,2017-12-29
ORZVC,15.5,2017-12-29
PDTVC,22.2,2017-12-29
PEMVC,17.5,2017-12-29
PNCVC,16.5,2017-12-29
PPNVC,15.5,2017-12-29
PRCVC,17,2017-12-29
PSNVC,16.4,2017-12-29
RALVC,23.5,2017-12-29
RAUVC,17.5,2017-12-29
SONVC,21.2,2017-12-29
TAPVC,17,2017-12-29
TBLVC,21.5,2017-12-29
TMPVC,16.3,2017-12-29
TNCVC,16.5,2017-12-29
TOTVC,14,2017-12-29
TXPVC,18.5,2017-12-29
VERVC,22.6,2017-12-29
VTEVC,21,2017-12-29
XCFVC,14.5,2017-12-29
XOBVC,14.6,2017-12-29
ZALVC,9.5,2017-12-29
ABAYC,21,2017-12-29
BECYC,23,2017-12-29
CANYC,24,2017-12-29
CHIYC,20.25,2017-12-29
CHOYC,25,2017-12-29
CYOYC,25.75,2017-12-29
EZAYC,25,2017-12-29
FAEYC,25,2017-12-29
GARYC,24,2017-12-29
MEOYC,24.9,2017-12-29
MOCYC,24,2017-12-29
MTOYC,22.5,2017-12-29
MUNYC,23.75,2017-12-29
OXKYC,21.5,2017-12-29
PETYC,22.5,2017-12-29
PROYC,24.55,2017-12-29
RLAYC,22.5,2017-12-29
TANYC,20.5,2017-12-29
TICYC,22.75,2017-12-29
TIZYC,22.5,2017-12-29
VALYC,23.8,2017-12-29
ACHZC,14.5,2017-12-29
ATGZC,13.2,2017-12-29
BTEZC,14,2017-12-29
CHIZC,19,2017-12-29
ELCZC,14,2017-12-29
ELSZC,13.5,2017-12-29
EXCZC,14.5,2017-12-29
GPEZC,13.5,2017-12-29
GRCZC,7.5,2017-12-29
JCHZC,17.5,2017-12-29
JERZC,16.5,2017-12-29
LFLZC,14,2017-12-29
LLBZC,12.2,2017-12-29
LMOZC,13.5,2017-12-29
LOBZC,14,2017-12-29
LORZC,13.7,2017-12-29
LREZC,12.5,2017-12-29
MGAZC,14.5,2017-12-29
MORZC,18,2017-12-29
MRSZC,13,2017-12-29
NCTZC,14.2,2017-12-29
NTAZC,16,2017-12-29
PALZC,13.2,2017-12-29
PINZC,12,2017-12-29
RGRZC,12,2017-12-29
SOMZC,14,2017-12-29
STEZC,15.2,2017-12-29
STRZC,12.5,2017-12-29
TAYZC,16.2,2017-12-29
TCHZC,15,2017-12-29
TGOZC,15,2017-12-29
TLLZC,15.5,2017-12-29
VGOZC,17.75,2017-12-29
VHGZC,11.5,2017-12-29
ZACZC,14.2,2017-12-29
CB2DR,11.5,2017-12-29
FV2DR,16,2017-12-29
LANMC,17.15,2017-12-29
PA2DR,13.5,2017-12-29
THODR,14.5,2017-12-29
TBPVC,21.5,2017-12-29
SB2DR,13.2,2017-12-29
GB2SI,22,2017-12-29
LD2SI,23.2,2017-12-29
SN2SI,21.25,2017-12-29
AL2SI,23,2017-12-29
AGSAG,16,2017-12-30
ANVAG,14.65,2017-12-30
CDRAG,17.25,2017-12-30
CNSAG,13,2017-12-30
CSOAG,10.25,2017-12-30
JCQAG,14.5,2017-12-30
NGRAG,14,2017-12-30
OBSAG,15.1,2017-12-30
PBLAG,13.75,2017-12-30
PECAG,15,2017-12-30
PTOAG,14.25,2017-12-30
PTRAG,14.25,2017-12-30
ALRBN,20,2017-12-30
CRRBN,21,2017-12-30
EFLBN,20.5,2017-12-30
ELZBN,15.7,2017-12-30
ENLBN,15.7,2017-12-30
MXCBN,16.2,2017-12-30
PDMBN,15.5,2017-12-30
SFLBN,18.4,2017-12-30
CCNBS,22.1,2017-12-30
CSLBS,26,2017-12-30
DORBS,18,2017-12-30
GNGBS,17.5,2017-12-30
LBABS,22.5,2017-12-30
LPZBS,21.3,2017-12-30
LRTBS,21.5,2017-12-30
MLGBS,18,2017-12-30
PLNBS,20,2017-12-30
RBRBS,20,2017-12-30
SANBS,27,2017-12-30
SARBS,21.5,2017-12-30
SBABS,20,2017-12-30
SJCBS,24.5,2017-12-30
SNTBS,20.5,2017-12-30
SRLBS,21,2017-12-30
TSNBS,23.5,2017-12-30
CANCA,24,2017-12-30
CARCA,27,2017-12-30
CHMCA,24,2017-12-30
CMPCA,23,2017-12-30
CNDCA,25,2017-12-30
COBCA,23.2,2017-12-30
ESCCA,24.5,2017-12-30
HECCA,25,2017-12-30
HPOCA,23,2017-12-30
NYXCA,26,2017-12-30
PLZCA,24.5,2017-12-30
SBNCA,26,2017-12-30
XCPCA,23.5,2017-12-30
AGZCH,11,2017-12-30
BSSCH,11.25,2017-12-30
BTVCH,12.5,2017-12-30
CAGCH,11.3,2017-12-30
CCOCH,14,2017-12-30
CDLCH,16,2017-12-30
CNDCH,19.2,2017-12-30
FIMCH,13.5,2017-12-30
GPCCH,13.3,2017-12-30
GRCCH,19.2,2017-12-30
GYCCH,10,2017-12-30
IGNCH,19.5,2017-12-30
JMNCH,13.65,2017-12-30
LBQCH,14.5,2017-12-30
LJSCH,9.5,2017-12-30
LLNCH,17,2017-12-30
OJNCH,12.5,2017-12-30
PRRCH,14.7,2017-12-30
QIJCH,15.3,2017-12-30
RVGCH,7.5,2017-12-30
TMCCH,9.2,2017-12-30
TNTCH,14,2017-12-30
VICCH,14,2017-12-30
ADLCL,10,2017-12-30
AMSCL,9.5,2017-12-30
ARACL,11.5,2017-12-30
CBRCL,10,2017-12-30
CCGCL,12.5,2017-12-30
CDACL,11,2017-12-30
CDLCL,11.5,2017-12-30
CNTCL,8.5,2017-12-30
CYTCL,17.5,2017-12-30
ESLCL,12.5,2017-12-30
FIMCL,16.5,2017-12-30
MCVCL,10.65,2017-12-30
PNGCL,10.8,2017-12-30
PRSCL,13,2017-12-30
SAACL,11,2017-12-30
SALCL,15.9,2017-12-30
SBNCL,10,2017-12-30
SMGCL,8,2017-12-30
SMJCL,13,2017-12-30
SPECL,16.5,2017-12-30
STOCL,13.5,2017-12-30
TORCL,17.25,2017-12-30
VCRCL,12,2017-12-30
ZPTCL,9.5,2017-12-30
BVSCM,24,2017-12-30
CDOCM,27,2017-12-30
CLLCM,27.7,2017-12-30
CQMCM,25.7,2017-12-30
CUACM,24.5,2017-12-30
DJLCM,24.7,2017-12-30
LAECM,25,2017-12-30
LDACM,27,2017-12-30
LPSCM,24.9,2017-12-30
MNZCM,26.7,2017-12-30
PNTCM,27,2017-12-30
RDRCM,27,2017-12-30
TCMCM,27.7,2017-12-30
TRJCM,22.5,2017-12-30
ACACP,23,2017-12-30
ANGCP,23,2017-12-30
AROCP,28.75,2017-12-30
BOQCP,24,2017-12-30
CACCP,26,2017-12-30
CASCP,23.25,2017-12-30
CHICP,23,2017-12-30
COOCP,15.8,2017-12-30
GRICP,23.25,2017-12-30
LACCP,23.75,2017-12-30
MALCP,24.5,2017-12-30
PCOCP,20.5,2017-12-30
PENCP,24.25,2017-12-30
REFCP,20,2017-12-30
REVCP,21.5,2017-12-30
SAACP,24,2017-12-30
SAYCP,24.25,2017-12-30
SCOCP,12,2017-12-30
SDOCP,22.5,2017-12-30
SMICP,22.5,2017-12-30
SNACP,23.5,2017-12-30
TAPCP,28.55,2017-12-30
TUXCP,22.5,2017-12-30
TXOCP,22.7,2017-12-30
YAMCP,21.5,2017-12-30
CEADF,14,2017-12-30
DATDF,15,2017-12-30
GCNDF,13,2017-12-30
SJADF,13.5,2017-12-30
APRDR,12.7,2017-12-30
CAGDR,15.2,2017-12-30
CBRDR,11.2,2017-12-30
CEBDR,12.5,2017-12-30
CGVDR,14,2017-12-30
CLRDR,14.2,2017-12-30
CNCDR,17,2017-12-30
CNTDR,15.5,2017-12-30
DRGDR,15.4,2017-12-30
FVLDR,16.7,2017-12-30
FZRDR,17.5,2017-12-30
GESDR,13.5,2017-12-30
GNCDR,11,2017-12-30
NZSDR,18,2017-12-30
PAGDR,14,2017-12-30
RDODR,14.5,2017-12-30
ROSDR,5.2,2017-12-30
SACDR,14,2017-12-30
SBYDR,17,2017-12-30
SELDR,12,2017-12-30
SLCDR,16,2017-12-30
SMODR,12.5,2017-12-30
SPPDR,15,2017-12-30
TDRDR,23.7,2017-12-30
TMZDR,22.2,2017-12-30
VHGDR,9,2017-12-30
ABSGJ,17.75,2017-12-30
ACNGJ,15.5,2017-12-30
AEGGJ,17,2017-12-30
AMCGJ,14.75,2017-12-30
APSGJ,14.75,2017-12-30
ATBGJ,15.75,2017-12-30
BRRGJ,14,2017-12-30
CLYGJ,17,2017-12-30
COMGJ,14.5,2017-12-30
CORGJ,11.75,2017-12-30
CRMGJ,19,2017-12-30
CSRGJ,13,2017-12-30
CSTGJ,16.25,2017-12-30
DHGGJ,15.75,2017-12-30
ECBGJ,14.25,2017-12-30
ECHGJ,17.25,2017-12-30
ECNGJ,15,2017-12-30
EPLGJ,10.5,2017-12-30
GTOGJ,14.8,2017-12-30
IALGJ,13,2017-12-30
IRPGJ,16,2017-12-30
LADGJ,11.5,2017-12-30
LDYGJ,16.5,2017-12-30
LENGJ,17,2017-12-30
LGVGJ,14.5,2017-12-30
LJIGJ,17,2017-12-30
LQMGJ,10,2017-12-30
OCMGJ,11.5,2017-12-30
PERGJ,16.25,2017-12-30
PNLGJ,13,2017-12-30
POZGJ,11.25,2017-12-30
PRSGJ,16,2017-12-30
SFEGJ,9.5,2017-12-30
SJLGJ,10.5,2017-12-30
SLMGJ,17,2017-12-30
SLSGJ,16,2017-12-30
SLVGJ,14.5,2017-12-30
SRTGJ,15,2017-12-30
TGRGJ,16,2017-12-30
XICGJ,14.25,2017-12-30
AERGR,21.1,2017-12-30
AFIGR,28.5,2017-12-30
AHUGR,22,2017-12-30
AYUGR,24.25,2017-12-30
BVSGR,20,2017-12-30
CALGR,26.75,2017-12-30
CCHGR,19,2017-12-30
CHIGR,21,2017-12-30
CNLGR,26.75,2017-12-30
IGLGR,23,2017-12-30
IXTGR,22,2017-12-30
LCLGR,23,2017-12-30
LDCGR,24.5,2017-12-30
LDGGR,22,2017-12-30
ODAGR,27,2017-12-30
ODZGR,21.5,2017-12-30
OLNGR,20.5,2017-12-30
OMEGR,20.5,2017-12-30
PETGR,21,2017-12-30
QTZGR,25,2017-12-30
SJEGR,26.25,2017-12-30
TAXGR,17,2017-12-30
TLAGR,13,2017-12-30
VGRGR,29.75,2017-12-30
XXHGR,21.5,2017-12-30
YXTGR,18.5,2017-12-30
ZHTGR,29,2017-12-30
ENDHD,16,2017-12-30
HCPHD,12.5,2017-12-30
IXMHD,16,2017-12-30
LMTHD,18.5,2017-12-30
MXQHD,14,2017-12-30
PCOHD,11.7,2017-12-30
PRGHD,16,2017-12-30
PRQHD,14.5,2017-12-30
PVAHD,16,2017-12-30
TLGHD,12.5,2017-12-30
TXMHD,12.5,2017-12-30
ZXTHD,10.5,2017-12-30
BBAJL,22.5,2017-12-30
BCSJL,16.2,2017-12-30
CGZJL,18.1,2017-12-30
CIHJL,27.5,2017-12-30
CPEJL,25.5,2017-12-30
CRTJL,14.5,2017-12-30
CULJL,22.7,2017-12-30
EXPJL,18,2017-12-30
GUAJL,18.2,2017-12-30
GUCJL,16.2,2017-12-30
HUAJL,17.2,2017-12-30
LDCJL,18.5,2017-12-30
PITJL,18.2,2017-12-30
SAUJL,13.2,2017-12-30
TCAJL,17.2,2017-12-30
TENJL,16.5,2017-12-30
TLAJL,19.5,2017-12-30
TMLJL,18.2,2017-12-30
ADUMC,13.5,2017-12-30
AGOMC,13,2017-12-30
AMEMC,14.7,2017-12-30
APTMC,25.5,2017-12-30
CBLMC,14.5,2017-12-30
CHAMC,16.5,2017-12-30
CHIMC,13.5,2017-12-30
COIMC,15,2017-12-30
CORMC,16.5,2017-12-30
DGNMC,16.1,2017-12-30
EGIMC,15.5,2017-12-30
LDFMC,14.5,2017-12-30
LPAMC,16,2017-12-30
MCEMC,14.5,2017-12-30
MLPMC,13.75,2017-12-30
MNOMC,14.55,2017-12-30
MRVMC,15.5,2017-12-30
ORAMC,15.75,2017-12-30
PDBMC,13.5,2017-12-30
PORMC,14.5,2017-12-30
PUCMC,11.5,2017-12-30
SSIMC,20,2017-12-30
TEPMC,14,2017-12-30
UREMC,12.25,2017-12-30
VJIMC,11.75,2017-12-30
ZAMMC,15.5,2017-12-30
ACHMR,17.7,2017-12-30
