fecha,id,precio,lon,lat,tipo
2015-12-28,07002,3.553395,-92.84099201,16.53590665,Pie de parcela
2015-12-28,07003,3.6868350000000003,-92.77828004,15.23748969,Pie de parcela
2015-12-28,07004,3.84969602,-91.86266845,16.66358537,Pie de parcela
2015-12-28,07005,3.9000000000000004,-92.85462578,17.3870456,Pie de parcela
2015-12-28,07006,3.45,-92.09494872,15.55661263,Pie de parcela
2015-12-28,07007,3.86499908,-92.39857737,16.51298049,Pie de parcela
2015-12-28,07008,3.49469,-92.67812499,15.75206411,Pie de parcela
2015-12-28,07009,3.5,-93.93759478,16.24568896,Pie de parcela
2015-12-28,07010,3.45,-92.15211327,15.48530006,Pie de parcela
2015-12-28,07011,3.45,-92.247678,15.62192489,Pie de parcela
2015-12-28,07012,2.9477399999999996,-93.32120063,16.86703283,Pie de parcela
2015-12-28,07013,3.525,-92.95700586,17.01190567,Pie de parcela
2015-12-28,07014,3.1,-92.74302574,17.03515813,Pie de parcela
2015-12-28,07015,3.6803300000000005,-92.16509162,15.08479031,Pie de parcela
2015-12-28,07016,3.4,-91.99778075,17.77977954,Pie de parcela
2015-12-28,07017,3.370875,-93.86933212,16.70978223,Pie de parcela
2015-12-28,07018,3.29074,-93.12390858,17.12112457,Pie de parcela
2015-12-28,07019,3.662839996666667,-92.17269573,16.29145369,Pie de parcela
2015-12-28,07020,4.019335,-92.7679235,15.96145612,Pie de parcela
2015-12-28,07021,3.53206,-93.252063,17.09434073,Pie de parcela
2015-12-28,07022,3.822292985,-92.60766096,17.02015343,Pie de parcela
2015-12-28,07023,3.84375,-92.67970712,16.82478354,Pie de parcela
2015-12-28,07024,3.8396647199999996,-92.21585638,16.62340425,Pie de parcela
2015-12-28,07025,3.9000000000000004,-93.12908435,17.32365501,Pie de parcela
2015-12-28,07026,3.829835,-92.56461742,16.9480368,Pie de parcela
2015-12-28,07027,3.5441700000000003,-92.97097285,16.60234121,Pie de parcela
2015-12-28,07028,3.557805,-92.71414437,16.54697436,Pie de parcela
2015-12-28,07029,3.13636999,-93.11835827,16.99873431,Pie de parcela
2015-12-28,07030,3.9706599999999996,-92.39266193,15.79364798,Pie de parcela
2015-12-28,07031,3.25,-92.03744715,17.10792937,Pie de parcela
2015-12-28,07032,3.651830005,-92.5650535,15.36411628,Pie de parcela
2015-12-28,07033,3.9,-93.27420992,17.28819594,Pie de parcela
2015-12-28,07034,3.561475,-92.08825849,15.76290478,Pie de parcela
2015-12-28,07035,3.470903333333333,-92.21239853,14.742801,Pie de parcela
2015-12-28,07036,3.45,-92.22288492,15.51328698,Pie de parcela
2015-12-28,07037,3.598115,-92.43685902,15.00609541,Pie de parcela
2015-12-28,07038,3.8496732300000005,-92.40163018,16.69061206,Pie de parcela
2015-12-28,07039,3.1,-92.6912903,17.24128034,Pie de parcela
2015-12-28,07040,3.614674995,-92.55208239,15.08490441,Pie de parcela
2015-12-28,07041,3.8,-91.80378241,16.2059402,Pie de parcela
2015-12-28,07042,3.1,-92.97449502,17.29853523,Pie de parcela
2015-12-28,07043,3.9000000000000004,-93.10113898,17.42605146,Pie de parcela
2015-12-28,07044,3.58081,-92.90209404,16.80676642,Pie de parcela
2015-12-28,07045,3.9000000000000004,-92.97903928,17.46990268,Pie de parcela
2015-12-28,07046,3.4517550000000004,-93.67384053,16.51977385,Pie de parcela
2015-12-28,07047,3.525,-92.86796938,17.08618586,Pie de parcela
2015-12-28,07048,3.9,-93.19554859,17.70130418,Pie de parcela
2015-12-28,07049,3.84375,-92.78003771,16.92906874,Pie de parcela
2015-12-28,07050,3.4,-91.75433695,17.60633553,Pie de parcela
2015-12-28,07051,3.6697,-92.89295924,15.45807981,Pie de parcela
2015-12-28,07052,3.8,-91.73871804,16.38621447,Pie de parcela
2015-12-28,07053,3.45,-92.18575794,15.37224197,Pie de parcela
2015-12-28,07054,3.6326350050000005,-92.49210671,14.88646382,Pie de parcela
2015-12-28,07055,3.686475,-92.20032269,14.822291,Pie de parcela
2015-12-28,07056,3.8297959550000003,-92.56822253,16.87664598,Pie de parcela
2015-12-28,07057,3.45,-92.32803143,15.31188037,Pie de parcela
2015-12-28,07058,3.6314100000000002,-92.60847643,16.43856079,Pie de parcela
2015-12-28,07059,3.69019,-91.34784395,16.70764292,Pie de parcela
2015-12-28,07060,3.476355,-93.17415745,17.22069753,Pie de parcela
2015-12-28,07061,3.64627,-93.49701618,16.83081028,Pie de parcela
2015-12-28,07062,3.9,-93.39914372,17.43254379,Pie de parcela
2015-12-28,07063,3.0885700000000003,-93.08504232,16.8965929,Pie de parcela
2015-12-28,07064,3.8360000000000003,-92.26991229,16.77964276,Pie de parcela
2015-12-28,07065,3.4,-91.8042478,17.43592922,Pie de parcela
2015-12-28,07066,3.8423418,-92.46638586,17.05751371,Pie de parcela
2015-12-28,07067,3.1,-93.06101353,17.19198019,Pie de parcela
2015-12-28,07068,3.9000000000000004,-93.19440649,17.52947424,Pie de parcela
2015-12-28,07069,3.5999999999999996,-93.19066177,15.66628956,Pie de parcela
2015-12-28,07070,3.45,-92.27256477,15.42702364,Pie de parcela
2015-12-28,07071,3.6265900099999997,-92.61791585,15.16939024,Pie de parcela
2015-12-28,07072,3.525,-92.87712481,17.21795505,Pie de parcela
2015-12-28,07073,3.1,-92.99716062,17.19756161,Pie de parcela
2015-12-28,07074,3.9,-93.23142014,17.86340285,Pie de parcela
2015-12-28,07075,3.879996666666667,-92.36831652,16.37060141,Pie de parcela
2015-12-28,07076,3.1297550000000003,-92.60919264,17.32064464,Pie de parcela
2015-12-28,07077,3.4,-92.18258839,17.43295694,Pie de parcela
2015-12-28,07078,3.884999065,-92.59640751,16.68353427,Pie de parcela
2015-12-28,07079,3.09323,-93.2108591,16.91993149,Pie de parcela
2015-12-28,07080,3.45,-92.44687344,15.53961689,Pie de parcela
2015-12-28,07081,3.1,-92.63244626,17.14064416,Pie de parcela
2015-12-28,07082,3.1297450000000002,-92.34541403,17.04196026,Pie de parcela
2015-12-28,07083,3.6563400033333333,-92.37505867,16.10721211,Pie de parcela
2015-12-28,07084,3.9000000000000004,-93.00787332,17.39107201,Pie de parcela
2015-12-28,07085,3.05423,-92.994866,16.93294212,Pie de parcela
2015-12-28,07086,3.566125,-93.12947223,16.58906982,Pie de parcela
2015-12-28,07087,3.4614166666666666,-92.22654218,14.64667168,Pie de parcela
2015-12-28,07088,3.9,-93.25204204,17.48860591,Pie de parcela
2015-12-28,07089,3.4235466666666667,-92.30439084,14.93155604,Pie de parcela
2015-12-28,07090,3.1,-93.1211566,17.21167778,Pie de parcela
2015-12-28,07091,3.1,-92.99925413,17.25232593,Pie de parcela
2015-12-28,07092,3.545185,-93.53327157,17.19435872,Pie de parcela
2015-12-28,07093,3.840001085,-92.46977023,16.83716391,Pie de parcela
2015-12-28,07094,3.9049937,-92.51579771,16.56493891,Pie de parcela
2015-12-28,07096,3.25,-92.48701605,17.37692729,Pie de parcela
2015-12-28,07097,3.5,-93.68952561,15.99707298,Pie de parcela
2015-12-28,07098,3.536485,-92.65987649,16.50995541,Pie de parcela
2015-12-28,07099,3.662106666666667,-91.90066708,16.0255103,Pie de parcela
2015-12-28,07100,3.15951,-92.27173778,17.30370413,Pie de parcela
2015-12-28,07101,3.5847800000000003,-93.13948848,16.74025956,Pie de parcela
2015-12-28,07102,3.6586500000000006,-92.19812557,14.89258849,Pie de parcela
2015-12-28,07103,3.63937499,-92.41147998,15.13668864,Pie de parcela
2015-12-28,07104,3.6550966666666667,-92.24717436,16.12394804,Pie de parcela
2015-12-28,07105,4.3121,-92.10550232,15.06117613,Pie de parcela
2015-12-28,07106,3.77824,-92.60600473,16.31543125,Pie de parcela
2015-12-28,07107,3.4859689499999997,-93.20132816,16.10996912,Pie de parcela
2015-12-28,07108,3.6964496600000003,-93.37201076,16.34542205,Pie de parcela
2015-12-28,07109,3.25,-92.3243198,17.18840672,Pie de parcela
2015-12-28,07110,3.5218249999999998,-92.72402787,16.62206625,Pie de parcela
